中嘴火车站				29.644078	111.767492
唐家沱火车站				29.598658	106.65634
鱼嘴火车站				29.644078	111.767492
白涛火车站				29.644078	111.767492
白马火车站				27.088505	102.203644
白沙沱火车站				29.627544	106.617311
蔺市火车站				29.673222	107.187529
龙池火车站				29.644078	111.767492
磨溪火车站				29.644078	111.767492
庙坝火车站				29.644078	111.767492
分水寺火车站				30.754409	109.151846
葡萄菁火车站				29.644078	111.767492
土坎火车站				29.644078	111.767492
东升坝火车站				29.644078	111.767492
北碚火车站				29.808816	106.438566
麻旺火车站				29.644078	111.767492
沙坪坝火车站				29.560166	106.466505
三汇坝火车站				29.644078	111.767492
清平火车站				29.644078	111.767492
李河火车站				29.644078	111.767492
梨树湾火车站				29.644078	111.767492
黄�火车站				29.644078	111.767492
重庆西火车站				29.544606	106.530635
重庆东火车站				29.544606	106.530635
王家坝火车站				29.644078	111.767492
天府北火车站				31.424608	119.844403
太洪火车站				29.644078	111.767492
重庆西火车站				29.544606	106.530635
福州火车站				26.119026	119.326098
厦门火车站				24.474392	118.121869
漳平火车站				25.312296	117.426548
来舟火车站				26.63125	117.99319
漳州东火车站				24.517065	117.676205
邵武火车站				27.356399	117.487796
泉州火车站				24.980172	118.574302
永安火车站				25.980901	117.384874
三明火车站				26.246813	117.613698
宁德火车站				26.67397	119.590198
武夷山火车站				27.73561	118.037145
南平火车站				26.628238	118.184485
建瓯火车站				27.029365	118.300922
建阳火车站				27.360012	118.120069
龙岩火车站				25.10273	117.012976
莆田火车站				25.356964	119.069243
古田火车站				26.434588	118.630312
闽清火车站				26.219317	118.914039
顺昌火车站				26.806018	117.822273
晋江火车站				24.800085	118.466369
南平南火车站				26.643626	118.181883
光泽火车站				27.556441	117.357927
沙县火车站				26.446506	117.818846
长汀火车站				25.834897	116.350656
冠豸山火车站				25.531595	116.688842
华安火车站				25.004217	117.545449
上杭火车站				25.188772	116.744171
永定火车站				24.741049	116.750308
安溪火车站				25.064233	118.207587
南安火车站				24.99413	118.403873
湖头火车站				29.644078	111.767492
长基火车站				29.644078	111.767492
坂尾火车站				29.644078	111.767492
大深火车站				29.644078	111.767492
福德火车站				29.644078	111.767492
感德火车站				29.644078	111.767492
雁石火车站				29.644078	111.767492
苏坂火车站				29.644078	111.767492
麦园火车站				29.644078	111.767492
金谷火车站				25.175225	118.116072
龙海火车站				24.526665	117.819666
长乐火车站				25.915538	119.56272
石狮火车站				24.744894	118.692481
漳州火车站				24.531557	117.670832
兰州火车站				36.040389	103.857373
天水火车站				34.571348	105.906086
陇西火车站				34.958087	104.712061
嘉峪关火车站				39.77091	98.261115
金昌火车站				38.376718	102.070457
张掖火车站				38.97929	100.525879
武威火车站				37.909925	102.630105
柳园火车站				41.112474	95.511992
定西火车站				35.598515	104.631281
甘谷火车站				34.769098	105.338334
酒泉火车站				39.651542	98.458396
清水火车站				34.742527	106.14008
疏勒河火车站				29.644078	111.767492
玉门镇火车站				40.286745	97.033686
海石湾火车站				36.34657	102.871274
武威南火车站				37.933172	102.640147
山丹火车站				38.818889	101.081224
武山火车站				34.726758	104.926061
平凉火车站				35.556878	106.714127
白银西火车站				36.501822	104.205649
临泽火车站				39.16264	100.166753
景泰火车站				37.20066	104.062126
永登火车站				36.726428	103.280258
低窝铺火车站				38.456875	102.67807
高台火车站				39.274462	99.795917
徽县火车站				33.892851	106.033317
平凉南火车站				35.55011	106.688911
安口窑火车站				29.644078	111.767492
庙庄火车站				29.644078	111.767492
皋兰火车站				36.34288	103.949552
崇信火车站				35.249103	107.003776
兰州西火车站				36.064226	103.823305
敦煌火车站				40.174349	94.789679
瓜州火车站				40.573614	95.779921
天祝火车站				37.273113	102.849007
古浪火车站				37.485868	102.924266
河口南火车站				37.9695	118.620012
宏庆火车站				29.644078	111.767492
兰州东火车站				36.064226	103.823305
两当火车站				33.911379	106.403885
李家河火车站				29.644078	111.767492
神峪河火车站				37.087876	111.199074
水源火车站				29.644078	111.767492
屯升火车站				29.644078	111.767492
吴家川火车站				29.644078	111.767492
玉石火车站				29.644078	111.767492
西固城火车站				36.122706	103.628095
许三湾火车站				29.644078	111.767492
朱家窑火车站				29.644078	111.767492
黄羊镇火车站				37.672721	102.856087
丰水村火车站				27.172932	107.07491
打柴沟火车站				29.644078	111.767492
陈官营火车站				29.644078	111.767492
长征火车站				36.728957	104.854629
东湾火车站				29.644078	111.767492
大泉火车站				29.644078	111.767492
白银市火车站				36.546682	104.171241
芨岭火车站				29.644078	111.767492
靖远火车站				36.557917	104.678222
靖远西火车站				36.749103	104.732327
龙沟火车站				37.324139	102.907344
龙泉寺火车站				29.644078	111.767492
坡底下火车站				29.644078	111.767492
平原堡火车站				39.07819	100.368744
邵家堂火车站				36.175463	103.873174
上腰墩火车站				29.644078	111.767492
黑冲滩火车站				29.644078	111.767492
园墩火车站				37.721004	102.974241
土门子火车站				29.644078	111.767492
谭家井火车站				38.156518	106.898216
石峡子火车站				29.644078	111.767492
渭南镇火车站				34.694558	105.643703
鸳鸯镇火车站				29.693158	106.59279
新阳镇火车站				34.692657	105.527416
贺家店火车站				29.644078	111.767492
洛门火车站				34.759835	105.032429
磐安镇火车站				34.762689	105.115278
南河川火车站				35.651697	104.867066
三阳川火车站				29.644078	111.767492
桑园子火车站				29.644078	111.767492
骆驼巷火车站				29.644078	111.767492
李家坪火车站				29.644078	111.767492
甘草店火车站				35.797406	104.298955
许家台火车站				29.644078	111.767492
夏官营火车站				35.959183	104.185963
通安驿火车站				29.644078	111.767492
兴泉堡火车站				29.644078	111.767492
红砂岘火车站				37.539483	103.854683
红岘台火车站				29.644078	111.767492
长城火车站				38.944138	121.329853
镜铁山火车站				39.318774	97.949455
